Mes,Dia,Anio,Tmin,Tmax,Tavg
6,29,1930,21.2,27.6,34
6,30,1930,22.4,27.7,33
7,1,1930,21,27.2,33.4
7,2,1930,22.2,27.65,33.1
7,3,1930,21.2,27.25,33.3
7,4,1930,22.3,27.85,33.4
7,5,1930,19.4,26.2,33
7,6,1930,20,27,34
7,7,1930,20.2,26.8,33.4
7,8,1930,21.2,26.1,31
7,9,1930,20.2,25.1,30
7,10,1930,20,25.5,31
7,11,1930,20.2,26.7,33.2
7,12,1930,21.2,NaN,NaN
7,13,1930,16.2,NaN,NaN
7,14,1930,20.2,NaN,NaN
7,15,1930,21.3,NaN,NaN
7,16,1930,21.3,NaN,NaN
7,17,1930,20.3,NaN,NaN
7,18,1930,20,NaN,NaN
7,19,1930,19.3,NaN,NaN
7,20,1930,21,NaN,NaN
7,21,1930,20,NaN,NaN
7,22,1930,22,NaN,NaN
7,23,1930,21.3,NaN,NaN
7,24,1930,20.3,NaN,NaN
7,25,1930,21,NaN,NaN
7,26,1930,21.2,NaN,NaN
7,27,1930,22.1,NaN,NaN
7,28,1930,19,NaN,NaN
7,29,1930,19.4,NaN,NaN
7,30,1930,20.1,NaN,NaN
7,31,1930,21,NaN,NaN
8,1,1930,20,NaN,NaN
8,2,1930,20.2,NaN,NaN
8,3,1930,19.2,NaN,NaN
8,4,1930,19.4,NaN,NaN
8,5,1930,20.3,NaN,NaN
8,6,1930,21,NaN,NaN
8,7,1930,20.3,NaN,NaN
8,8,1930,20.2,NaN,NaN
8,9,1930,22,28.2,34.4
8,10,1930,19,27.05,35.1
8,11,1930,18.4,26.85,35.3
8,12,1930,18.2,27.25,36.3
8,13,1930,19.2,28.3,37.4
8,14,1930,20.4,29.7,39
8,15,1930,21.4,30.25,39.1
8,16,1930,21.2,30.15,39.1
8,17,1930,20,29.6,39.2
8,18,1930,20.4,28.8,37.2
8,19,1930,22,28.6,35.2
8,20,1930,22.3,29.75,37.2
8,21,1930,21.1,30.15,39.2
8,22,1930,22,30.2,38.4
8,23,1930,20.1,29.05,38
8,24,1930,20,28.5,37
8,25,1930,19,28.15,37.3
8,26,1930,23.2,27.65,32.1
8,27,1930,18,25.2,32.4
8,28,1930,19.3,26.25,33.2
8,29,1930,16.4,25.7,35
8,30,1930,18,27.65,37.3
8,31,1930,19,28.1,37.2
9,1,1930,22,29.1,36.2
9,2,1930,22.2,28.8,35.4
9,3,1930,20,27.2,34.4
9,4,1930,18.2,25.8,33.4
9,5,1930,18.3,26.85,35.4
9,6,1930,21.1,27.55,34
9,7,1930,22.3,28.35,34.4
9,8,1930,22,30.05,38.1
9,9,1930,21,28.65,36.3
9,10,1930,22,30.1,38.2
9,11,1930,22.2,30.3,38.4
9,12,1930,22.1,30.15,38.2
9,13,1930,22.4,29.35,36.3
9,14,1930,20.4,29.2,38
9,15,1930,19,28.6,38.2
9,16,1930,19,27,35
9,17,1930,15,25.2,35.4
9,18,1930,14.4,24.85,35.3
9,19,1930,16.3,27.2,38.1
9,20,1930,15.4,26.8,38.2
9,21,1930,16.3,27.35,38.4
9,22,1930,17.4,28.25,39.1
9,23,1930,18,28.5,39
9,24,1930,19.2,28.7,38.2
9,25,1930,18.3,27.7,37.1
9,26,1930,19.3,26.25,33.2
9,27,1930,20,24.65,29.3
9,28,1930,17.2,22.75,28.3
9,29,1930,20,22.5,25
9,30,1930,22.3,24.8,27.3
10,1,1930,20.1,26.15,32.2
10,2,1930,20,25.05,30.1
10,3,1930,20.4,24.3,28.2
10,4,1930,20.1,25.2,30.3
10,5,1930,21.2,24.65,28.1
10,6,1930,21.3,22.2,23.1
10,7,1930,16.5,23.8,31.1
10,8,1930,16.4,23.35,30.3
10,9,1930,19.4,25.85,32.3
10,10,1930,20,26.05,32.1
10,11,1930,20.2,23.8,27.4
10,12,1930,20.1,21.65,23.2
10,13,1930,20.2,22.65,25.1
